screen_name,text
yolelouis,"b'rt @adewaleoretuga: in 1896, thomas edison, the great inventor who invented the electric bulb,   was working on an idea to design a car whe\xe2\x80\xa6'"
rajkovic_a,b'@tesla have you seen a great proposal by @senschumer on electric cars. brave and visionary! https://t.co/znjrdxnqoq'
aladdindeals,b'check out maisto yellow mercedes-benz slk230 convertible 1:24 scale diecast model car #maisto https://t.co/mja8f9qu8p via @ebay'
michelmnielsen,"b""byd earnings drop 89% as china's electric-car market goes sour https://t.co/z2oypgsavf"""
joey_sd24,"b""rt @getfandom: 'who framed roger rabbit?' director robert zemeckis is producing 'tooned out,' a new animated / live-action hybrid series fo\xe2\x80\xa6"""
stasovac83,b'rt @reutersplus: collaboration is powering the next generation of electric and hybrid vehicles. reducing the weight of car components by up\xe2\x80\xa6'
mgmotor,"b'this saturday we will be attending @regentstreetms with zs ev featuring in the @goultralow collection, so come alon\xe2\x80\xa6 https://t.co/ytvj6oxbap'"
flexential,b'are you ready to move from the #publiccloud to a #hybridit model? read this gbook to learn about the boomerang effe\xe2\x80\xa6 https://t.co/sxi6wkxo2v'
swanlowdenepol,"b'pcso clare atkins met with the mens group at the electric church today.we chatted about home, vehicle and cycle saf\xe2\x80\xa6 https://t.co/fcqi7mhwoq'"
_mb01,b'rt @businessinsider: former tesla executives developed this sleek electric car https://t.co/tgmfwwopkq'
mcscorer61,b'@jthigh @caroljsroth you mean like the subsidies in the form of tax credits that the government provides to people\xe2\x80\xa6 https://t.co/zzlk2n5rrf'
marciojmsilva,b'volkswagen will unveil new id electric car concept at petersen auto museum - roadshow https://t.co/rkam78zlga https://t.co/hedhv0a3w6'
roseleomusk,b'rt @nuovarealta: interesting - and s\xe2\x89\xa1xy \xf0\x9f\x92\x96\xf0\x9f\x92\x96\xf0\x9f\x92\x96 @tesla #modely https://t.co/vxy2vimhz2'
andy_g_sellars,"b""why britain desperately needs eight new 'gigafactories' to save its car industry, referencing prof walton\xe2\x80\xa6 https://t.co/f3t7bppyl8"""
yesrdb1610,"b""rt @hbomaxnews: \xf0\x9f\x9a\xa8'who framed roger rabbit?' director robert zemeckis is producing '#toonedout,' a new animated / live-action hybrid series\xe2\x80\xa6"""
bearflag7,"b'finally, an electric crate motor you can drop into your old car https://t.co/dvrb3wcyaw'"
thingpixs,"b""rt @torres_samar: i'm not going to lie, this is the best purchase i've made of 2019\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/p5avicgprt"""
andrewharding4,"b""11) fantastic latest review of ~ split decision ~ bk 1 in ~ the hybrid series ~ by @deneale of deneale's book buzz\xe2\x80\xa6 https://t.co/htqvfht3lk"""
cham_sophia,"b'ebook free  the anunnaki final warning to humanity, the end of time, and the return of the anunnaki in 2022. 6th ed\xe2\x80\xa6 https://t.co/5vcwfbbpqn'"
richgoodingcom,b'who knew there was an electric #seat toledo? @majorgav does. (i\xe2\x80\x99ve also learned about a #citroen ax 4x4 on\xe2\x80\xa6 https://t.co/32k11va3pw'
itsbrostinson,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
mrtouch18,b'rt @businessinsider: former tesla executives developed this sleek electric car https://t.co/tgmfwwopkq'
partyprobs,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
mzjacobson,b'new battery design can charge an electric car in 10 minutes   https://t.co/7kqjedfyqs via @vice'
cham_sophia,"b'ebook free  the anunnaki final warning to humanity, the end of time, and the return of the anunnaki in 2022. 6th ed\xe2\x80\xa6 https://t.co/vjgimtjgsn'"
_______imaan,b'rt @businessinsider: former tesla executives developed this sleek electric car https://t.co/tgmfwwopkq'
traveipage,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
ilker_kuzlu,b'rt @cnetnews: volkswagen will unveil new id electric car concept at petersen auto museum https://t.co/cprwwkxnmf'
sexualgifs_,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
ivyleaguebabes,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
sodimu_da,b'rt @hallaboutafrica: 1st electric car to be built in africa goes into production in rwanda: the vw e-golf teams volkswagen with siemens in\xe2\x80\xa6'
cardesignnews,"b'interior motives: honda e - first there was the urban ev concept, then the e prototype. now, we get under the skin\xe2\x80\xa6 https://t.co/hszmncuvwo'"
blancoblanco_,"b'concept car shows japanese plan to make interior &amp; exterior car panels from wood ""  if i had to oversimplify the wo\xe2\x80\xa6 https://t.co/zrsqfrftqt'"
stevelawrence_,"b'@thegreenparty @jon_bartley bike lanes &amp; underground bike parks, tax breaks on electric bikes &amp; scooters, car-shari\xe2\x80\xa6 https://t.co/tprz1rlfoe'"
jddneary,"b""@pulmcrit not if it's an electric car tho"""
topcat4647,"b'with current technology, electric cars are a #scam on the consumer. the modern gasoline engine is more efficient en\xe2\x80\xa6 https://t.co/8r1w7d3rym'"
mickyiv4,"b'rt @otunbakush1: no 2, mercedes benz c300 ( 2015)  all model of this car was recalled due to fire, you can park and it will still catch fir\xe2\x80\xa6'"
sixsensewords,"b""rt @torres_samar: i'm not going to lie, this is the best purchase i've made of 2019\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/p5avicgprt"""
richardswart,"b'vw ramps up china electric car factories, taking aim at tesla #innovation #science #blockchain #technology #edge\xe2\x80\xa6 https://t.co/eokuadciri'"
wanderwomanphd,b'@toyota you are wrong about the short memories of consumers and about our lack of concern for environmental impact\xe2\x80\xa6 https://t.co/fxqrhocggj'
_jeepsdaily,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
nairobiautomatt,"b'mercedes benz e250 #quicksale!!! 2012 model, 1800 cc, automatic transmission, very neat and in mint condition, full\xe2\x80\xa6 https://t.co/edexrmbrpn'"
arg23309268,b'rt @earthoxx: @justme52500634 @john86083589 @stevesm31934619 @thejagmeetsingh no car  ride bike take bus occasional cab - electric walk enj\xe2\x80\xa6'
michael46830937,"b""china's bet on coal is little more than common sense. coal is cheap and out of favour in the west. co2 is harmless.\xe2\x80\xa6 https://t.co/tqcmdjil2l"""
thingpixs,"b""rt @torres_samar: i'm not going to lie, this is the best purchase i've made of 2019\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/p5avicgprt"""
conradallum,"b""rt @fullychargedshw: ohhhh..check out the electric, in the electric! (and try not to notice @bobbyllew's dirty car!)  https://t.co/otbvdctx\xe2\x80\xa6"""
sagaciousvalli,"b""rwanda , africa's technology lead...."""
amanda_talyat,"b""@mostlymocery @adndotcom you could try watching leonardo dicaprio's newest documentary, a lot of companies have alr\xe2\x80\xa6 https://t.co/w5i3vi4dvh"""
marcbeldata,b'rt @mzjacobson: new battery design can charge an electric car in 10 minutes   https://t.co/7kqjedfyqs via @vice'
nice__az,b'driving an electric car is scary sometimes. i had 7 miles on my battery last night but only had 3 when i left for w\xe2\x80\xa6 https://t.co/pxkmzq1ddv'
jimmiani,"b'if this is real, game over.'"
bennafordroush,"b""we're excited!!! ford and #techcrunch said it will debut the electric suv on november 17th; ahead of the la auto sh\xe2\x80\xa6 https://t.co/zpljxtczc3"""
shaks1960,b'rt @hallaboutafrica: 1st electric car to be built in africa goes into production in rwanda: the vw e-golf teams volkswagen with siemens in\xe2\x80\xa6'
ubi_now,"b""@elonmusk    an orange that's still green"""
abagyenzire,"b'rt @pmldailynews_ug: car manufacturer volkswagen and siemens have signed an agreement to build an electric car factory in rwanda, the first\xe2\x80\xa6'"
abrahalliver,"b""rt @hbomaxnews: \xf0\x9f\x9a\xa8'who framed roger rabbit?' director robert zemeckis is producing '#toonedout,' a new animated / live-action hybrid series\xe2\x80\xa6"""
paolox68,"b'rt @gulfcars: after showing off the supra gt4 concept in geneva this past march, toyota has announced key details on the final, race-ready\xe2\x80\xa6'"
paceward,b'ford have revealed plans to release a mustang inspired electric suv on november 17th - a good idea or messing with\xe2\x80\xa6 https://t.co/5tlt08a09n'
quartermiles,"b""ok but how about a mass produced electric car that isn't the size of an office cubicle and not $50k ??"""
lancer_donnie,b'rt @thejidegrand: @markessien ex-navy officer turned inventor signs a multi-million deal to produce his electric car battery that will take\xe2\x80\xa6'
priestlicious,b'please tell me this is a joke'
ristotreksler,b'too bad this hasn\xe2\x80\x99t taken off. pretty great solution for temporarily extending range. https://t.co/zotfls7uqi'
oashinbreez13,"b'*elon musk, creator of the electric car, endorses yang*'"
mapninja,b'@mouthofmorrison it\xe2\x80\x99s a real problem here. everyone saving the world from the half $million electric super car.'
22rdw,"b'rt @nicholas_mee: v12 vantage rs. a living, breathing and road registered concept car. a genuine piece of aston martin history, unveiled to\xe2\x80\xa6'"
mwamba12,b'rt @hallaboutafrica: 1st electric car to be built in africa goes into production in rwanda: the vw e-golf teams volkswagen with siemens in\xe2\x80\xa6'
quandu,b'#nanotech news: volkswagen will unveil new id electric car concept at petersen auto museum     - roadshow https://t.co/y2cedtuukd'
davidhsearch,b'solving the electric car on-street charging problem (via passle) by @hyperionstephen https://t.co/5launr0mk0\xe2\x80\xa6 https://t.co/us561hqyhj'
notarup,"b""rt @hbomaxnews: \xf0\x9f\x9a\xa8'who framed roger rabbit?' director robert zemeckis is producing '#toonedout,' a new animated / live-action hybrid series\xe2\x80\xa6"""
bolotosorov,b'rt @electrekco: tesla model 3 becomes first electric car approved as nyc yellow cab https://t.co/r8gsbifbx7 by @fredericlambert https://t.c\xe2\x80\xa6'
uplantatree,"b""@0sundance @goodguide air pollution could make you bald: doctors now say you shouldn't exercise outdoors because po\xe2\x80\xa6 https://t.co/gudaxgqn63"""
thingpixs,"b""rt @torres_samar: i'm not going to lie, this is the best purchase i've made of 2019\xf0\x9f\xa4\xb7\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/p5avicgprt"""
sharks1334,b'rt @frankbullitt39: fit this to a levc txe &amp; every black cabbie in london will be driving one tomorrow   father-of-eight invents an electri\xe2\x80\xa6'
mickyiv4,"b""rt @otunbakush1: kia optima 2015 this car's issue is from hell, d car fine for face but d transmission na electric, this car wasn't made fo\xe2\x80\xa6"""
poorlyfluff,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
eaphen,"b""rt @getfandom: 'who framed roger rabbit?' director robert zemeckis is producing 'tooned out,' a new animated / live-action hybrid series fo\xe2\x80\xa6"""
andrewharding4,b'~~0) ~ new book review ~ split decision ~  bk1 ~ the hybrid series ~ by @nlpublications ~ #thrillers ~ bdsm ~\xe2\x80\xa6 https://t.co/w3taxtrjzh'
tripinatweet,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
trippiexredd,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
frankmture,b'rt @newtimesrwanda: rwanda\xe2\x80\x99s first electric car is set to be launched today.  four electric vehicles will debut in #rwanda through a partne\xe2\x80\xa6'
marciojmsilva,b'volkswagen will unveil new id electric car concept at petersen auto museum - roadshow https://t.co/4dwvtrrgdg https://t.co/bhrlx9hbkk'
codognovw,b'rt @volkswagen: the #zwickau plant will become the largest and most efficient electric car plant in europe. e-mobility board member thomas\xe2\x80\xa6'
codognovw,b'rt @volkswagen: from 100 % internal combustion engines to 100 % electric drives: the zwickau factory will become the largest and most effic\xe2\x80\xa6'
paulmcclintock,"b""don't overlook this car! a challenge to tesla !..?? https://t.co/ncpcsvypm0 https://t.co/cpjisadxhk"""
poppetbear66,"b""@niais i've been looking at the hyndai kona as a small suv style hatchback but it's currently only available as a r\xe2\x80\xa6 https://t.co/uswio2ffkd"""
top__trending,b'luxury suv face-off: #bmw x5 vs. #mercedes-benz gle - https://t.co/62qwcajfzt'
gojirama,"b'rt @mirielmargaret: i saw a tesla this morning with the vanity plate \xe2\x80\x9ck1ck gas.\xe2\x80\x9d which, okay, yes! less fossil fuel consumption! but maybe\xe2\x80\xa6'"
purelysexual,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
marcmarshall88,b'young women in brand new hatchbacks have no concept of keeping a safe distance from the car in front and therefore  braking distances.'
raymatt53916310,b'\xe2\x80\xa6.toyota has never been my favourite car...now even less...'
motorious_tv,"b""rt @drivetribe: who's excited?\xf0\x9f\xa4\x94  https://t.co/qrq5uatlv5+"""
zachwhitedev,b'i hope @honda starts making fully electric cars because i don\xe2\x80\x99t ever want to buy a car that isn\xe2\x80\x99t a honda'
onlywhitneyy_,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
nairobiautomatt,"b'mercedes benz ml63 amg 2010 model, 5.5-litre v8 biturbo engine, automatic transmission, very neat and in mint condi\xe2\x80\xa6 https://t.co/mucmr9vym5'"
bewickwren,"b'with over 5.1m #electric #cars on the roads globally, or 0.6% of the passenger car stock worldwide, general motors\xe2\x80\xa6 https://t.co/slgme72z0r'"
animationvidz,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
forthemen,b'rt @torres_samar: seriously how am i just hearing about this??\xf0\x9f\x91\x80 https://t.co/p5avicgprt'
girlcfs,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
freesyiah,"b'@mikemillionare please send me also.. i have no pay my electric bills for 3 months.. my car broken, i also need to pay my debt.. please \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'"
shehzadyounis,"b""volkswagen's electric car launched in rwanda  https://t.co/yv35yr5muy"""
officialdreamio,"b""mitsubishi's new electric car shows off ar dashboard in concept video \xc2\xab next reality https://t.co/qy4kxti5ej\xe2\x80\xa6 https://t.co/woqxxkpflx"""
blackbox_ns,"b'not sure which #ucc model is best for you? see all the pros and cons of traditional on-premise, hosted cloud, and h\xe2\x80\xa6 https://t.co/hu8bvl35gr'"
laurentfranckx,"b'if confirmed and commercially viable, this would be another big thing for electric mobility ""new battery design can\xe2\x80\xa6 https://t.co/p5rzotdt9o'"
sharalynmitche1,b'rt @albertstienstra: blackouts: california\xe2\x80\x99s electric car dream turns into a nightmare  residents needing electricity for medical devices a\xe2\x80\xa6'
prasadja,b'rt @businessinsider: show off your favorite items in this bmw mini concept car https://t.co/ar4vvnl9up'
kneedeepmedia,b'@yobeej how is vw going to fudge mileage numbers on an electric car?'
somepplrk,b'rt @enckj: opinion | chuck schumer: a bold plan for clean cars - the new york times https://t.co/g3ef8pqrvd'
gamergeeknews,b'volkswagen will unveil new id electric car concept at petersen auto museum   - roadshow https://t.co/saki2xrfrv'
somepplrk,b'rt @sierraclubca: .@senschumer\xe2\x80\x99s #cleancars for america proposal boldly addresses #transportation emissions while continuing to grow the bo\xe2\x80\xa6'
obmanagement,"b'this new spot for go ultra low, a joint government and car industry initiative that spreads information about elect\xe2\x80\xa6 https://t.co/bo2gj85xgr'"
wewantanycar,b'what are your thoughts on the potential banning of diesel cars in bristol? https://t.co/3noei2fi7a   #dieselcars #hybrid #emissions #bristol'
ethelreddy1,"b""@nationcymru it'd be better if they did something useful, like installing some electric car chargers in the town ce\xe2\x80\xa6 https://t.co/evle8prprh"""
nairobiautomatt,"b'mercedes benz s320 cdi #specialoffer!!! 2007 model, 3200 cc diesel engine, automatic transmission, very neat and in\xe2\x80\xa6 https://t.co/mj1sj4vbik'"
calligraphytv,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
adorabieanimal,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
mgstoke,"b'rt @mgmotor: this saturday we will be attending @regentstreetms with zs ev featuring in the @goultralow collection, so come along to get up\xe2\x80\xa6'"
alexis__cari,b'rt @momstrosityy: my emission inspection is a full throttle joke... my car is electric. it emits nothing. so why do we pay $40 to annually\xe2\x80\xa6'
sanjeevksanj,"b'rt @blackbox_ns: not sure which #ucc model is best for you? see all the pros and cons of traditional on-premise, hosted cloud, and hybrid s\xe2\x80\xa6'"
partyprobs,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
outfitgiri,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
omahuja31,b'mini mercedes-benz g-class amg g65 miniature diecast model https://t.co/qidldn7hty via @youtube'
exposingalec,"b""polling experts bash #koch-funded #electricvehicle survey as 'highly biased' and 'highly misleading'\xe2\x80\xa6 https://t.co/t3o0b2o7ck"""
somepplrk,"b'unless you micro grid and  secure alternative energy sources as well as fuel choices, this will not be successful i\xe2\x80\xa6 https://t.co/dwxplt5cjk'"
keshprime,b'say sike right now'
billyvbryant,"b""can other countries catch up with china's electric car dominance? https://t.co/ifeytwkqek"""
lincolnrati,b'\xe2\x80\x9cyou can make beautiful vehicles in different ways. the bev technology gives us so much freedom to sculpt that vehi\xe2\x80\xa6 https://t.co/cmtt0tmzpf'
freesyiah,"b""@mikemillionare please help me.. really need the money.. i need to pay my electric bills.. haven't pay it for 3 mo\xe2\x80\xa6 https://t.co/sdbs2sfo3r"""
7_shadows,b'thinking of buying a new car? some good info in the responses to this tweet if you care about pollution &amp; mileage s\xe2\x80\xa6 https://t.co/g2uaempqv1'
60secfightz,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
kenkafui20,"b'rt @yeujiinioi: a professional exterior car designer and auto electric engineer is all i aspire to be, i sketch on paper with pen and penci\xe2\x80\xa6'"
springmorning74,b'@tamethegorilla @karenfloflo @jacquelyngill @ucsusa yup. so look at the older model priuses if you want a hybrid. o\xe2\x80\xa6 https://t.co/ht8fkz0s2u'
123design2,"b'concept cars are a strange animal. sometimes they\xe2\x80\x99re purely designed for fun, like jeep\xe2\x80\x99s easter time safari select\xe2\x80\xa6 https://t.co/rx27hva1qn'"
paulwermer,b'rt @mzjacobson: new battery design can charge an electric car in 10 minutes   https://t.co/7kqjedfyqs via @vice'
raulsatisacro,"b""rt @hbomaxnews: \xf0\x9f\x9a\xa8'who framed roger rabbit?' director robert zemeckis is producing '#toonedout,' a new animated / live-action hybrid series\xe2\x80\xa6"""
goalsrules,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
larry_sfn,"b'rt @otunbakush1: no 2, mercedes benz c300 ( 2015)  all model of this car was recalled due to fire, you can park and it will still catch fir\xe2\x80\xa6'"
somepplrk,b'rt @jayinslee: the transportation sector is our largest source of carbon pollution. but we can confront that \xe2\x80\x94 and create union jobs manufa\xe2\x80\xa6'
blackwel110,b'@psetalk my coworker just purchased \xe2\x80\x98used\xe2\x80\x99 leaf for 15k only 9k miles . had another coworker similar  car and  deal\xe2\x80\xa6 https://t.co/ibmhjrau0p'
astrolabe_cat,b'rt @hallaboutafrica: 1st electric car to be built in africa goes into production in rwanda: the vw e-golf teams volkswagen with siemens in\xe2\x80\xa6'
roshinimisra,"b""rt @roshennn: the reason i compared it to tesla, is bcs the inspiration of this entire project revolved around tesla's features, not bmw, n\xe2\x80\xa6"""
satisfyingloops,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
wvhtwayne,"b'rt @swanlowdenepol: pcso clare atkins met with the mens group at the electric church today.we chatted about home, vehicle and cycle safety.\xe2\x80\xa6'"
sexualgifs_,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
freesyiah,"b""@mikemillionare please help me.. really need the money.. i need to pay my electric bills.. haven't pay it for 3 mon\xe2\x80\xa6 https://t.co/eejkjulz4e"""
dreia_x,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
anhedonia1983,"b'@richachadha lead by example, sell off your luxury diesel vehicle and buy an electric car, post screenshots of the\xe2\x80\xa6 https://t.co/umxhavg8v7'"
mpalaci0s,"b'rt @adrianbowyer: when petrol hybrids from the world\'s biggest manufacturer have to describe themselves as ""self-charging"" the electric car\xe2\x80\xa6'"
boggusharlingen,"b""we're excited!!! ford and #techcrunch said it will debut the electric suv on november 17th; ahead of the la auto sh\xe2\x80\xa6 https://t.co/ztinyldevw"""
taniaglezaz,b'volkswagen will unveil new id electric car concept at petersen auto museum     - roadshow https://t.co/wjfeixqgwf'
naturerulesus,b'rt @mzjacobson: new battery design can charge an electric car in 10 minutes   https://t.co/7kqjedfyqs via @vice'
barrybgb,"b'christopher lloyd and robert zemeckis re-teaming for another live action/animated hybrid project? sold! ""tooned out\xe2\x80\xa6 https://t.co/3yqinmsjav'"
ltdiep,b'we must not plan for the future through the lens of today. although recent pg&amp;e power shutdowns have been frustrati\xe2\x80\xa6 https://t.co/gvyzvmu8i0'
codedweller,b'rt @electrekco: tesla model 3 becomes first electric car approved as nyc yellow cab https://t.co/r8gsbifbx7 by @fredericlambert https://t.c\xe2\x80\xa6'
rarityjewels1,"b""rt @hbomaxnews: \xf0\x9f\x9a\xa8'who framed roger rabbit?' director robert zemeckis is producing '#toonedout,' a new animated / live-action hybrid series\xe2\x80\xa6"""
msautumnmarie,b'have you heard rwanda will be the first country in africa to test out vw\xe2\x80\x99s electric car?!!  . .  congrats @vwrwanda\xe2\x80\xa6 https://t.co/lxhutx4yfy'
uplantatree,"b""@0sundance it's not just california phasing out fossil fuels left and right, the federal government hands $1 billio\xe2\x80\xa6 https://t.co/6jeptnr2mk"""
noahjgordon,"b'idea for a tv show to help save the planet: ""climate cribs"", where a celeb host - @billieeilish, @markruffalo? - re\xe2\x80\xa6 https://t.co/zpeso76pad'"
freesyiah,"b""@mikemillionare please help me.. really need the money.. i need to pay my electric bills.. haven't pay it for 3 mon\xe2\x80\xa6 https://t.co/m7yrbia07y"""
freesyiah,"b""@mikemillionare please help me.. really need the money.. i need to pay my electric bills.. haven't pay it for 3 mon\xe2\x80\xa6 https://t.co/zi7o6jtgxq"""
freesyiah,"b""@mikemillionare please help me.. really need the money.. i need to pay my electric bills.. haven't pay it for 3 mon\xe2\x80\xa6 https://t.co/gpo5kzzhkh"""
elektria_kg,b'rt @elonmusknewsorg: tesla model 3 becomes first electric car approved as nyc yellow cab  https://t.co/iwkay7qsqt'
freesyiah,b'@mikemillionare @mikemillionare0 done report.. please help me.. really need the money.. i need to pay my electric b\xe2\x80\xa6 https://t.co/opgypi7zfx'
adhaliwal,b'rt @john_westra: the first car i bought was a 1983 @vw diesel rabbit. i wonder if my first #electriccar will be a #volkswagen? we #ar defin\xe2\x80\xa6'
theogoguely,b'rt @john_westra: the first car i bought was a 1983 @vw diesel rabbit. i wonder if my first #electriccar will be a #volkswagen? we #ar defin\xe2\x80\xa6'
ryancerium,b'rt @john_westra: the first car i bought was a 1983 @vw diesel rabbit. i wonder if my first #electriccar will be a #volkswagen? we #ar defin\xe2\x80\xa6'
soulaimanitani,b'rt @john_westra: the first car i bought was a 1983 @vw diesel rabbit. i wonder if my first #electriccar will be a #volkswagen? we #ar defin\xe2\x80\xa6'
rajvashist,b'rt @john_westra: the first car i bought was a 1983 @vw diesel rabbit. i wonder if my first #electriccar will be a #volkswagen? we #ar defin\xe2\x80\xa6'
petter_a,b'rt @john_westra: the first car i bought was a 1983 @vw diesel rabbit. i wonder if my first #electriccar will be a #volkswagen? we #ar defin\xe2\x80\xa6'
cneum22,b'rt @john_westra: the first car i bought was a 1983 @vw diesel rabbit. i wonder if my first #electriccar will be a #volkswagen? we #ar defin\xe2\x80\xa6'
davidlewis_dla,"b""how do you feel about ev's? https://t.co/3ifhaciow0"""
relatablearts,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
freesyiah,"b""@rispeyinc please help me.. really need the money.. i need to pay my electric bills.. haven't pay it for 3 months..\xe2\x80\xa6 https://t.co/yrskrrr95t"""
suyash89947555,b'while everyone in india is runnin behind electric hatch back or ev cars why dont @tatamotors @tatamotorsev\xe2\x80\xa6 https://t.co/0s5tssxll3'
hotfudgesomeday,"b'2. luminous, abysmal is a concept album. it starts out in a nightmare. then you wake up at your exes house and they\xe2\x80\xa6 https://t.co/u6jy4hfv3y'"
considerthis1,"b'@hopeintheusa @mcl3160 a friend has a hybrid car. he needs a new battery. they cost $1,500.'"
ghettomemez,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
thefvguy,b'yo lets go'
weddingsgoals,b'rt @kaiia_brown: omg this cooler is literally the only thing i want for christmas\xf0\x9f\x98\x8d\xf0\x9f\x99\x8f https://t.co/a7wpvyyjps'
wileyequipment,"b'rt @jaguar: introducing the #jaguarvisiongtcoup\xc3\xa9, our first virtual all-electric sports car.  inspired by the #itype4 and #ipace #etrophy r\xe2\x80\xa6'"
pernilleru,b'toyota boosts poland presence for production of hybrid car components on brexit woes . poland will be only hybrid d\xe2\x80\xa6 https://t.co/4hyzswhjjk'
darrenculbreath,b'new charging technique could power an electric car battery in #10minutes #science|aaas#aaas   @newsfromscience https://t.co/w6vwkggvpw'
ai_inautomotive,b'more to do with where products are in their respective cycles? vw has early cycle suvs v m-b. wouldn\xe2\x80\x99t think it sig\xe2\x80\xa6 https://t.co/bio1eg62ll'
electrocar,b'#teslaqualityissues #teslaserviceissues mercedes recalls eqc electric car due to potentially faulty bolt - https://t.co/t6goksupsn'
euscicomm,b'new charging technique could power an electric car battery in 10 minutes https://t.co/jw5jnnpq1w sciencemagazine #science #news'
tdebo05,"b""rt @getfandom: 'who framed roger rabbit?' director robert zemeckis is producing 'tooned out,' a new animated / live-action hybrid series fo\xe2\x80\xa6"""
curiosstranger1,b'rt @bydcompany: 10 reasons to consider an #electricvehicle in 2020   full read\xe2\x80\x94https://t.co/ojirmswajv  #electricvehicles | #ev | #byd | #e\xe2\x80\xa6'
gfriend,b'ford announces launch of largest electric vehicle charging network in the us https://t.co/vmdakcdrgx'
voiceofthehwy,b'volkswagen will unveil new id electric car concept at petersen auto museum \xe2\x80\x93\xc2\xa0roadshow https://t.co/paym5eudsv https://t.co/wta6hwi1zx'
